# USDA NASS Quick Stats, environmental: North Dakota nitrogen fertilizer application.
# DOMAIN_DESC = FERTILIZER, DOMAINCAT_DESC = FERTILIZER: (NITROGEN), state level.
# practice = PRODN_PRACTICE_DESC. ORGANIC is a SEPARATE record from ALL PRODUCTION
# PRACTICES and must not be mixed into a synthetic-ammonia model; dropping this
# column collapsed two distinct 2009 spring-wheat records into one.
# PER_APP = LB / ACRE / APPLICATION, AVG    APPS = NUMBER, AVG
# PER_YEAR = LB / ACRE / YEAR, AVG          PCT_AREA = PCT OF AREA PLANTED, AVG
# (D) = withheld by NASS to avoid disclosing individual operations.
# Retrieved 2026-09-19 from qs.environmental_20260919.txt.gz. 17 U.S.C. 105, no copyright.
crop	class	practice	year	measure	value
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2012	APPS	1.7
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2012	PCT_AREA	98
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2012	PER_APP	53
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2012	PER_YEAR	91
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2015	APPS	1.7
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2015	PCT_AREA	99
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2015	PER_APP	57
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2015	PER_YEAR	96
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2017	APPS	1.6
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2017	PCT_AREA	99
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2017	PER_APP	65
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2017	PER_YEAR	107
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2019	APPS	1.7
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2019	PCT_AREA	96
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2019	PER_APP	68
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2019	PER_YEAR	116
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2022	APPS	1.8
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2022	PCT_AREA	100
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2022	PER_APP	49
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2022	PER_YEAR	90
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2024	APPS	1.8
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2024	PCT_AREA	98
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2024	PER_APP	59
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	2024	PER_YEAR	106
WHEAT	SPRING, (EXCL DURUM)	ORGANIC	2009	APPS	(D)
